# Table 2: Raw sequencing reads of all expressed small non-coding RNA species by tissue type. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Name:,Chromosomal Position,,,,BREAST,,,,,CNS,,,,,,COLON,,,,,,,LEUKEMIA,,,,,,MELANOMA,,,,,,,,,NSCLC,,,,,,,,,OVARIAN,,,,,,,PROSTATE,,RENAL,,,,,,,
mature,structure,chromosome,start,stop,BT-549,HS-578T,MCF-7,MDA-MB-231,T-47D,SF-539,SF-295,SF-268,U251,SNB-75,SNB-19,COLO 205,HCT-15,HCC2998,HCT-116,HT-29,KM12,SW-620,CCRF-CEM,HL-60(TB),K-562,MOLT-4,RPMI 8226,SR,MALME-3M,LOX-IMVI,M14,MDA-MB-435,SK-MEL-28,SK-MEL-5,SK-MEL-2,UACC-257,UACC-62,A549,EKVX,HOP 92,HOP 62,NCI-H23,NCI-H322M,NCI-H226,NCI-H460,NCI-H522,IGR-OV1,NCI/ADR-RES,OVCAR-3,OVCAR-8,OVCAR-4,OVCAR-5,SK-OV-3,DU-145,PC-3,A498,CAKI-1,786-0,ACHN,RXF393,SN12C,TK-10,UO-31
ACA59,snoRNA,chr2A,64752195,64752337,10,3,20,11,5,1,2,3,12,5,15,2,10,22,2,4,2,19,6,7,5,0,4,5,0,9,5,4,2,1,0,0,6,11,7,4,6,10,18,16,3,8,1,7,3,2,10,7,3,22,8,6,5,5,6,2,16,10,5
RNA5-8SP2,rRNA,chr16,34162959,34163110,29,11,49,21,36,31,8,12,25,16,49,24,18,58,18,23,19,31,28,19,22,29,24,37,0,34,15,43,23,16,48,0,28,32,13,19,31,35,92,31,30,25,13,28,37,20,23,19,10,30,27,33,14,23,17,28,56,58,10
RNA5-8SP3,rRNA,chr9,108992409,108992569,82,42,65,38,65,38,33,16,42,21,74,39,42,64,35,74,79,61,30,58,104,36,58,42,0,125,100,45,23,19,47,0,46,73,15,40,65,37,51,35,49,33,62,35,43,47,38,17,46,78,38,33,31,36,39,43,80,103,75
RNA5-8SP4,rRNA,chr19,24004358,24004507,133,28,51,55,31,25,22,34,37,28,73,55,56,54,29,22,47,40,51,34,43,49,27,30,0,60,85,58,22,21,35,0,28,100,18,33,89,74,54,63,38,42,41,58,51,54,63,30,66,49,39,35,44,37,49,23,37,40,43
RNA5-8SP5,rRNA,chr2,132253154,132253305,22,4,20,11,6,3,1,2,14,6,14,8,9,16,14,10,8,19,12,9,7,7,9,9,0,17,4,10,3,2,9,0,18,16,7,9,11,11,27,21,12,12,6,7,10,8,10,5,5,23,5,10,9,11,9,11,11,23,7
RNA5-8SP6,rRNA,chrY,10200155,10200306,152,22,57,60,52,40,30,15,138,52,198,69,55,103,48,47,48,151,36,59,48,76,27,56,1,76,82,148,39,42,63,0,61,85,24,32,126,98,51,67,66,73,42,35,99,59,69,31,41,53,99,70,48,43,83,24,61,103,36
RNA5-8SP7,rRNA,chr20,5346006,5346160,11,4,11,9,7,3,1,1,10,4,17,7,7,6,2,6,3,12,6,7,6,5,5,3,0,5,6,7,2,4,4,0,8,6,5,2,9,8,11,7,2,3,7,8,2,1,5,4,0,14,9,8,4,12,4,2,6,13,2
RNA5S9,rRNA,chr1,228628148,228628266,0,1,6,3,3,1,2,3,2,1,2,2,0,4,0,3,1,20,1,0,3,5,2,1,0,1,0,3,1,1,3,0,0,0,0,2,0,2,1,2,3,0,3,3,4,6,65,5,10,0,1,0,5,6,0,1,2,9,2
RNA5SP101,rRNA,chr2,96956708,96956815,8,5,9,8,1,1,0,2,6,6,10,3,2,11,8,6,8,3,3,3,3,3,10,7,0,5,2,6,0,0,2,0,5,13,5,4,4,7,18,5,1,4,4,6,3,5,1,2,5,9,4,9,4,7,8,2,6,21,5
RNA5SP102,rRNA,chr2,124932915,124933020,3,6,8,3,3,0,1,1,11,5,16,4,3,2,2,1,0,17,4,1,6,1,3,3,0,3,2,5,2,0,1,0,3,7,5,6,4,2,10,3,1,5,5,4,2,1,2,0,3,8,4,8,1,2,5,0,13,10,4
